ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
3726,DNA topoisomerase 4 subunit A,parC,1490399,Z67739,P72525,PARC_STRPN,2NOV; 3FOE; 3FOF; 3K9F; 3KSA; 3KSB; 3LTN; 3RAD; 3RAE; 3RAF; 4JUO; 4KOE; 4KPE; 4KPF,,,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),DB01044; DB06771
3727,DNA topoisomerase 4 subunit B,parE,1490399,Z67739,Q59961,PARE_STRPN,3FOE; 3FOF; 3K9F; 3KSA; 3KSB; 3LTN; 3RAD; 3RAE; 3RAF; 4JUO; 4KOE; 4KPE; 4KPF,,,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),DB01044
3728,Nuclear receptor coactivator 1,NCOA1,1480646,U59302,Q15788,NCOA1_HUMAN,1FM6; 1FM9; 1K4W; 1K74; 1K7L; 1KV6; 1N4H; 1NQ7; 1NRL; 1P8D; 1PZL; 1RDT; 1TFC; 1U3R; 1U3S; 1X76; 1X78; 1X7B; 1X7J; 1XIU; 1XV9; 1XVP; 1YY4; 1YYE; 1ZAF; 2A3I; 2C52; 2FVJ; 2GTK; 2HBH; 2HC4; 2HCD; 2HFP; 2NPA; 2NV7; 2P54; 2PRG; 3BEJ; 3BQD; 3CTB; 3CWD; 3DCT; 3DCU; 3DR1; 3ET1; 3ET3; 3FEI; 3FEJ; 3FUR; 3FXV; 3G8I; 3G9E; 3GYT; 3GYU; 3H0A; 3HC5; 3HC6; 3HVL; 3IPQ; 3IPS; 3IPU; 3KMR; 3LMP; 3OKH; 3OKI; 3OLF; 3OLL; 3OLS; 3OMK; 3OMM; 3OMO; 3OMP; 3OMQ; 3OOF; 3OOK; 3P88; 3P89; 3QT0; 3RUT; 3RUU; 3RVF; 3S9S; 3T03; 3UU7; 3UUA; 3UUD; 3V9Y; 3VN2; 4DK7; 4DK8; 4DM6; 4DM8; 4DQM; 4F9M; 4FGY; 4G1D; 4G1Y; 4G1Z; 4G20; 4G21; 4G2H; 4HEE; 4J5X; 4JYG; 4JYH; 4JYI; 4MG5; 4MG6; 4MG7; 4MG8; 4MG9; 4MGA; 4MGB; 4MGC; 4MGD; 4RUJ; 4RUP; 4TUZ; 4TV1; 4UDA; 4UDB; 4Y29; 5A86; 5AVI; 5AVL; 5AZT; 5DSH; 5DV3; 5DV6; 5DV8; 5DVC; 5DWL; 5E7V; 5GTN; 5GTO; 5GTP; 5HJS; 5JI0; 5JMM; 5L7E; 5L7G; 5L7H; 5MWP; 5MWY; 5MX7; 5NKY; 5NMA; 5NMB; 5NWM; 5OW7; 5OW9; 5OWD; 5Q0J; 5Q0K; 5Q0L; 5Q0M; 5Q0N; 5Q0O; 5Q0P; 5Q0Q; 5Q0R; 5Q0S; 5Q0T; 5Q0U; 5Q0V; 5Q0W; 5Q0X; 5Q0Y; 5Q0Z; 5Q10; 5Q11; 5Q12; 5Q13; 5Q14; 5Q15; 5Q16; 5Q18; 5Q19; 5Q1A; 5Q1B; 5Q1C; 5Q1D; 5Q1E; 5Q1F; 5Q1G; 5Q1H; 5Q1I; 5X0R; 5X8U; 5X8W; 5Y44; 5YCN; 5YCP; 5YP6; 6A5W; 6A5X; 6A5Y; 6A5Z; 6A60; 6BNS; 6E3G; 6FO7; 6FO8; 6FO9; 6FOB; 6FOD; 6GEV; 6GG8; 6HTY; 6ICJ; 6IJR; 6IJS; 6ILQ; 6ITM; 6JNR; 6JQ7; 6KTM; 6KTN; 6L6K; 6L96; 6NX1; 6P9F; 6SSQ; 6T2M; 6TFI; 6U25; 6W9H; 6W9I; 6XP9; 7AOS; 7B39; 7BNS; 7BNU; 7BO6; 7BPY; 7BPZ; 7BQ0; 7BQ1; 7BQ2; 7BQ3; 7BQ4; 7C6Q; 7CXF; 7CXH; 7CXI; 7CXJ; 7CXK; 7CXL; 7JYM; 7KXD; 7KXE; 7KXF; 7OXZ; 7OY4; 7QPI; 7TRB; 7WGO; 7WGP; 7WGQ; 7WQQ; 7XVY; 7XVZ; 7XWP; 7XWQ; 7XWR; 7Y8F; 7Y8G; 7YFK; 7ZFG; 7ZFX; 8CK5; 8CKC; 8F5Y; 8HUK; 8HUM; 8HUP; 8HUQ; 8P9W; 8SVN; 8SVO; 8SVP; 8SVQ; 8SVR; 8SVS; 8SVT; 8SVU; 8SVX; 9EYR; 9FBF; 9FZI,NCOA1,,HGNC:7668,Humans,DB04652
3729,Phosphatidylinositol 3-kinase catalytic subunit type 3,PIK3C3,987948,Z46973,Q8NEB9,PK3C3_HUMAN,3IHY; 3LS8; 4OYS; 4PH4; 4UWF; 4UWG; 4UWH; 4UWK; 4UWL; 5ANL; 5ENN; 6HOG; 6HOH; 6I3U; 6YKG; 7BL1; 7RSJ; 7RSP; 7RSV; 8RXR; 8SOR; 9C82; 9E4V; 9MHF; 9MHG; 9MHH,PIK3C3,,HGNC:8974,Humans,DB11962
3732,Adenylate cyclase type 2,ADCY2,33150814,AF410885,Q08462,ADCY2_HUMAN,,ADCY2,,HGNC:233,Humans,DB01274; DB02587
3733,Adenylate cyclase type 5,ADCY5,22212711,AF497517,O95622,ADCY5_HUMAN,8SL3; 8SL4,ADCY5,,HGNC:236,Humans,DB01274; DB02587
3739,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,1332710,U49070,Q13526,PIN1_HUMAN,1F8A; 1I6C; 1I8G; 1I8H; 1NMV; 1NMW; 1PIN; 1ZCN; 2F21; 2ITK; 2KBU; 2KCF; 2LB3; 2M8I; 2M8J; 2M9E; 2M9F; 2M9I; 2M9J; 2N1O; 2Q5A; 2RUC; 2RUD; 2RUQ; 2RUR; 2XP3; 2XP4; 2XP5; 2XP6; 2XP7; 2XP8; 2XP9; 2XPA; 2XPB; 2ZQS; 2ZQT; 2ZQU; 2ZQV; 2ZR4; 2ZR5; 2ZR6; 3I6C; 3IK8; 3IKD; 3IKG; 3JYJ; 3KAB; 3KAC; 3KAD; 3KAF; 3KAG; 3KAH; 3KAI; 3KCE; 3NTP; 3ODK; 3OOB; 3TC5; 3TCZ; 3TDB; 3WH0; 4GWT; 4GWV; 4QIB; 4TNS; 4TYO; 4U84; 4U85; 4U86; 5B3W; 5B3X; 5B3Y; 5B3Z; 5BMY; 5GPH; 5UY9; 5VTI; 5VTJ; 5VTK; 6DUN; 6O33; 6O34; 6SVC; 6SVE; 6SVH; 6VAJ; 7AOG; 7AXN; 7AYF; 7AZ1; 7AZ2; 7BDP; 7BDT; 7BDY; 7BFW; 7BG3; 7BGQ; 7BGR; 7BGV; 7BGW; 7EFJ; 7EFX; 7EKV; 7F0M; 7NIF; 7NIG; 7NJ6; 7NJ8; 7NJA; 7NRK; 7NRL; 7OQ9; 7OQA; 7SA5; 7SUQ; 7SUR; 8C2G; 8C3C; 8SG2; 8VJD; 8VJE; 8VJF; 8VJG; 9INR; 9IT1,PIN1,,HGNC:8988,Humans,DB01766; DB06867
3740,Nuclear receptor coactivator 2,NCOA2,1877215,X97674,Q15596,NCOA2_HUMAN,1GWQ; 1GWR; 1M2Z; 1MV9; 1MVC; 1MZN; 1P93; 1T63; 1T65; 1UHL; 1YOK; 1ZDT; 1ZDU; 1ZKY; 2AO6; 2B1V; 2B1Z; 2B23; 2FAI; 2G44; 2G5O; 2LDC; 2P15; 2P1T; 2P1U; 2P1V; 2Q7J; 2Q7L; 2YJD; 2ZXZ; 2ZY0; 3A9E; 3CLD; 3DZU; 3DZY; 3E00; 3E7C; 3E94; 3ERD; 3FUG; 3GN8; 3K22; 3K23; 3KWY; 3KYT; 3L0E; 3L0J; 3L0L; 3O1D; 3O1E; 3OAP; 3OZJ; 3PCU; 3PLZ; 3Q95; 3R5M; 3UP0; 3UP3; 4CSJ; 4DOS; 4E2J; 4FHH; 4FHI; 4IA1; 4IA2; 4IA3; 4IA7; 4IQR; 4IU7; 4IUI; 4IV2; 4IV4; 4IVW; 4IVY; 4IW6; 4IW8; 4IWC; 4IWF; 4K4J; 4K6I; 4M8E; 4M8H; 4NIE; 4NQA; 4OC7; 4P6W; 4P6X; 4PLD; 4PLE; 4POH; 4POJ; 4PP3; 4PP5; 4PP6; 4PPP; 4PPS; 4PXM; 4Q0A; 4Q13; 4QE8; 4RFW; 4RMC; 4RMD; 4RME; 4RUO; 4UDC; 4UDD; 4WG0; 4ZN7; 4ZN9; 4ZNH; 4ZNS; 4ZNT; 4ZNU; 4ZNV; 4ZNW; 4ZO1; 4ZSH; 5APH; 5APJ; 5DI7; 5DID; 5DIE; 5DIG; 5DK9; 5DKB; 5DKE; 5DKG; 5DKS; 5DL4; 5DLR; 5DMC; 5DMF; 5DP0; 5DRJ; 5DRM; 5DTV; 5DU5; 5DUE; 5DUG; 5DUH; 5DVS; 5DVV; 5DWE; 5DWG; 5DWI; 5DWJ; 5DX3; 5DXB; 5DXE; 5DXG; 5DXK; 5DXM; 5DXP; 5DXQ; 5DXR; 5DY8; 5DYB; 5DYD; 5DZ0; 5DZ1; 5DZ3; 5DZH; 5DZI; 5E0W; 5E0X; 5E14; 5E15; 5E19; 5E1C; 5EC9; 5EGV; 5EHJ; 5EI1; 5EIT; 5G3J; 5G42; 5G43; 5G44; 5G45; 5G46; 5G5W; 5H1E; 5HYR; 5I4V; 5IAW; 5ICK; 5KCC; 5KCD; 5KCE; 5KCF; 5KCT; 5KCU; 5KCW; 5KD9; 5KR9; 5KRA; 5KRC; 5KRF; 5KRH; 5KRI; 5KRJ; 5KRK; 5KRL; 5KRM; 5KRO; 5L11; 5LGA; 5LYQ; 5MK4; 5NFP; 5NFT; 5NI5; 5NI7; 5NI8; 5NIB; 5Q17; 5SYZ; 5T1Z; 5TLD; 5TLF; 5TLG; 5TLL; 5TLM; 5TLO; 5TLP; 5TLT; 5TLU; 5TLV; 5TLX; 5TLY; 5TM1; 5TM2; 5TM3; 5TM4; 5TM5; 5TM6; 5TM7; 5TM8; 5TM9; 5TML; 5TMM; 5TMO; 5TMQ; 5TMR; 5TMS; 5TMT; 5TMU; 5TMV; 5TMW; 5TMZ; 5TN1; 5TN3; 5TN4; 5TN5; 5TN6; 5TN7; 5TN8; 5U2D; 5UAN; 5VB3; 5VB5; 5VB6; 5VB7; 5VQK; 5VQL; 5WGQ; 5WZX; 5XPL; 5Y1J; 5Y49; 5YP5; 5YXB; 5YXD; 5YXJ; 5YXL; 5Z12; 6CZN; 6D0F; 6EL6; 6EL7; 6EL9; 6ESN; 6HL1; 6KKB; 6KKE; 6KNU; 6KNV; 6KNW; 6LB4; 6LB5; 6LB6; 6LIT; 6OQX; 6OQY; 6OR1; 6R7A; 6R7J; 6R7K; 6SJM; 6STI; 6VC2; 6VIF; 7A77; 7A78; 7A79; 7APO; 7B88; 7B9O; 7BK4; 7D42; 7JHD; 7JYD; 7JYE; 7KCO; 7NEL; 7NFB; 7NKE; 7OFI; 7OFK; 7PDQ; 7PDT; 7RAE; 7RAF; 7RKE; 7SFO; 7T2X; 7TT8; 7UW2; 7UW4; 7VUE; 7W3P; 7W3Q; 7WLX; 7WMG; 7WMH; 7WMJ; 7WML; 7WMN; 7WMO; 7YMK; 8C1L; 8DAF; 8EV1; 8EV2; 8F8M; 8GL7; 8P9X; 8PP0; 8PWD; 8PWE; 8PWF; 8PWM; 8PZ6; 8PZ7; 8PZ8; 8PZ9; 8PZB; 8VKZ; 9EZ1; 9EZ2; 9GY8; 9GYA; 9GYC; 9GYJ; 9GYK,NCOA2,,HGNC:7669,Humans,DB13954
3745,Serine/threonine-protein kinase PLK1,PLK1,393017,U01038,P53350,PLK1_HUMAN,1Q4K; 1Q4O; 1UMW; 2OGQ; 2OJX; 2OU7; 2OWB; 2RKU; 2V5Q; 2YAC; 3BZI; 3C5L; 3FC2; 3FVH; 3HIH; 3HIK; 3KB7; 3P2W; 3P2Z; 3P34; 3P35; 3P36; 3P37; 3Q1I; 3RQ7; 3THB; 4A4L; 4A4O; 4DFW; 4E67; 4E9C; 4E9D; 4H5X; 4H71; 4HAB; 4HCO; 4HY2; 4J52; 4J53; 4LKL; 4LKM; 4O56; 4O6W; 4O9W; 4RCP; 4WHH; 4WHK; 4WHL; 4X9R; 4X9V; 4X9W; 5J19; 5NEI; 5NFU; 5NJE; 5NMM; 5NN1; 5NN2; 5TA6; 5TA8; 6AX4; 6GY2; 7MSO; 7MX1; 8BJT; 8CRC; 8JOQ; 8JOY; 8S30; 8S31; 8WFP; 8X72; 8XB9,PLK1,,HGNC:9077,Humans,DB23606
3754,Disintegrin and metalloproteinase domain-containing protein 17,ADAM17,1857673,U86755,P78536,ADA17_HUMAN,1BKC; 1ZXC; 2A8H; 2DDF; 2FV5; 2FV9; 2I47; 2M2F; 2OI0; 3B92; 3CKI; 3E8R; 3EDZ; 3EWJ; 3G42; 3KMC; 3KME; 3L0T; 3L0V; 3LE9; 3LEA; 3LGP; 3O64; 8CQY; 8SNL; 8SNN; 8SNO; 9E6K,ADAM17,,HGNC:195,Humans,DB07145
3758,Chymotrypsin-like elastase family member 1,CELA1,4731318,AF120493,Q9UNI1,CELA1_HUMAN,,CELA1,,HGNC:3308,Humans,DB01844; DB02114; DB02341; DB03757; DB07955
3761,cAMP-dependent protein kinase catalytic subunit alpha,PRKACA,35479,X07767,P17612,KAPCA_HUMAN,2GU8; 3AGL; 3AGM; 3AMA; 3AMB; 3L9L; 3L9M; 3L9N; 3MVJ; 3NX8; 3OOG; 3OVV; 3OWP; 3OXT; 3P0M; 3POO; 3VQH; 4AE6; 4AE9; 4UJ1; 4UJ2; 4UJ9; 4UJA; 4UJB; 4WB5; 4WB6; 4WB7; 4WB8; 5BX6; 5BX7; 5IZF; 5IZJ; 5J5X; 5N23; 5UZK; 6BYR; 6BYS; 6C0U; 6FRX; 6NO7; 6QJ7; 6WJF; 6WJG; 7Y1G; 8FE2; 8FE5; 8FEC; 8X5L,PRKACA,,HGNC:9380,Humans,DB07995
3769,Receptor-type tyrosine-protein phosphatase beta,PTPRB,35788,X54131,P23467,PTPRB_HUMAN,2AHS; 2H02; 2H03; 2H04; 2HC1; 2HC2; 2I3R; 2I3U; 2I4E; 2I4G; 2I4H; 2I5X; 8JBN; 8JBY,PTPRB,,HGNC:9665,Humans,DB16353
3772,Mitogen-activated protein kinase 9,MAPK9,598183,L31951,P45984,MK09_HUMAN,3E7O; 3NPC; 7CML; 7N8T; 8ELC,MAPK9,,HGNC:6886,Humans,DB11718
3780,Glycylpeptide N-tetradecanoyltransferase 2,NMT2,3005065,AF043325,O60551,NMT2_HUMAN,4C2X; 6PAU,NMT2,,HGNC:7858,Humans,DB15567
3782,TGF-beta receptor type-1,TGFBR1,431035,L11695,P36897,TGFR1_HUMAN,1B6C; 1IAS; 1PY5; 1RW8; 1VJY; 2L5S; 2PJY; 2WOT; 2WOU; 2X7O; 3FAA; 3GXL; 3HMM; 3KCF; 3KFD; 3TZM; 4X0M; 4X2F; 4X2G; 4X2J; 4X2K; 4X2N; 5E8S; 5E8T; 5E8U; 5E8W; 5E8X; 5E8Z; 5E90; 5FRI; 5QIK; 5QIL; 5QIM; 5QTZ; 5QU0; 5USQ; 6B8Y; 6MAC; 8YHF; 8YHL; 9B9F; 9F6X; 9FK5,TGFBR1,,HGNC:11772,Humans,DB03921
3790,Mitogen-activated protein kinase 8,MAPK8,474901,L26318,P45983,MK08_HUMAN,1UKH; 1UKI; 2G01; 2GMX; 2H96; 2NO3; 2XRW; 2XS0; 3ELJ; 3O17; 3O2M; 3PZE; 3V3V; 3VUD; 3VUG; 3VUH; 3VUI; 3VUK; 3VUL; 3VUM; 4AWI; 4E73; 4G1W; 4HYS; 4HYU; 4IZY; 4L7F; 4QTD; 4UX9; 4YR8; 5LW1; 6F5E; 6ZR5; 8PT8; 8PT9; 8PTA; 8R5E; 8X5M; 9FT9,MAPK8,,HGNC:6881,Humans,DB01782; DB11718
3791,Dual specificity protein kinase TTK,TTK,340011,M86699,P33981,TTK_HUMAN,2X9E; 2ZMC; 2ZMD; 3CEK; 3DBQ; 3GFW; 3H9F; 3HMN; 3HMO; 3HMP; 3VQU; 3W1F; 3WYX; 3WYY; 3WZJ; 3WZK; 4B94; 4BHZ; 4BI0; 4BI1; 4BI2; 4C4E; 4C4F; 4C4G; 4C4H; 4C4I; 4C4J; 4CV8; 4CV9; 4CVA; 4D2S; 4H7X; 4H7Y; 4JS8; 4JT3; 4O6L; 4ZEG; 5AP0; 5AP1; 5AP2; 5AP3; 5AP4; 5AP5; 5AP6; 5AP7; 5EH0; 5EHL; 5EHO; 5EHY; 5EI2; 5EI6; 5EI8; 5LJJ; 5MRB; 5N7V; 5N84; 5N87; 5N93; 5N9S; 5NA0; 5NAD; 5NTT; 5O91; 6B4W; 6GVJ; 6H3K; 6N6O; 6TN9; 6TNB; 6TNC; 6TND; 7CHM; 7CHN; 7CHT; 7CIL; 7CJA; 7CLH; 7LQD,TTK,,HGNC:12401,Humans,DB01782; DB15498
3798,Poly [ADP-ribose] polymerase 2,PARP2,6688130,AJ236912,Q9UGN5,PARP2_HUMAN,3KCZ; 3KJD; 4PJV; 4TVJ; 4ZZX; 4ZZY; 5D5K; 5DSY; 6F1K; 6F5B; 6F5F; 6TX3; 6USJ; 6X0L; 6X0M; 6X0N; 7AEO; 7R59; 8HE8; 8HKN; 8HKO; 8HKS; 8HLJ; 8HLQ; 8JNY,PARP2,,HGNC:272,Humans,DB09074; DB11760; DB11793; DB12332
3805,Immunoglobulin heavy constant gamma 2,IGHG2,,AL928742,P01859,IGHG2_HUMAN,2QSC; 4HAF; 4HAG; 4L4J; 7LUS,IGHG2,,HGNC:5526,Humans,DB15258; DB22673; DB22674
3823,Ribosomal protein uL16-like,RPL10L,23491783,AB063608,Q96L21,RL10L_HUMAN,4UG0; 4V6X; 5LKS; 5T2C; 6IP5; 6IP6; 6IP8; 6LQM; 6QZP; 6XA1; 6Y0G; 6Y2L; 6Y57; 6Y6X; 6Z6L; 6Z6M; 6Z6N; 6ZM7; 6ZME; 6ZMI; 6ZMO; 7BHP; 7OW7; 7QVP; 8IFD; 8IFE; 8JDJ; 8JDK; 8JDL; 8JDM; 8OHD; 8OJ0; 8OJ5; 8OJ8; 8QOI; 8QYX; 8UKB; 8XSX; 8Y0W; 8Y0X; 9G8M,RPL10L,,HGNC:17976,Humans,DB01421
3833,Large ribosomal subunit protein uL3,RPL3,313659,X73460,P39023,RL3_HUMAN,4UG0; 4V6X; 5AJ0; 5LKS; 5T2C; 6IP5; 6IP6; 6IP8; 6LQM; 6LSR; 6LSS; 6LU8; 6OLE; 6OLF; 6OLG; 6OLI; 6OLZ; 6OM0; 6OM7; 6QZP; 6W6L; 6XA1; 6Y0G; 6Y2L; 6Y57; 6Y6X; 6Z6L; 6Z6M; 6Z6N; 6ZM7; 6ZME; 6ZMI; 6ZMO; 7BHP; 7F5S; 7QVP; 7XNX; 7XNY; 8A3D; 8FKP; 8FKQ; 8FKR; 8FKS; 8FKT; 8FKU; 8FKV; 8FKW; 8FKX; 8FKY; 8FKZ; 8FL0; 8FL2; 8FL3; 8FL4; 8FL6; 8FL7; 8FL9; 8FLA; 8FLB; 8FLC; 8FLD; 8FLE; 8FLF; 8G5Y; 8G5Z; 8G60; 8G61; 8G6J; 8GLP; 8IDT; 8IDY; 8IE3; 8IFD; 8IFE; 8INE; 8INF; 8INK; 8IPD; 8IPX; 8IPY; 8IR1; 8IR3; 8JDJ; 8JDK; 8JDL; 8JDM; 8K2C; 8OHD; 8OJ0; 8OJ5; 8OJ8; 8QFD; 8QOI; 8QYX; 8RL2; 8UKB; 8XSX; 8XSY; 8XSZ; 8Y0W; 8Y0X; 8YOO; 8YOP; 9C3H; 9G8M; 9GMO,RPL3,,HGNC:10332,Humans,DB04865
3839,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1,3300094,AF059198,O75460,ERN1_HUMAN,2HZ6; 3P23; 4U6R; 4YZ9; 4YZC; 4YZD; 4Z7G; 4Z7H; 5HGI; 6HV0; 6HX1; 6SHC; 6URC; 6W39; 6W3A; 6W3B; 6W3C; 6W3E; 6W3K; 6XDB; 6XDD; 6XDF; 7BMK; 8UVL,ERN1,,HGNC:3449,Humans,DB07382
3848,Nuclear receptor subfamily 1 group I member 3,NR1I3,458542,Z30425,Q14994,NR1I3_HUMAN,1XV9; 1XVP,NR1I3,,HGNC:7969,Humans,DB01889; DB07557
3862,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",PDK1,1088281,L42450,Q15118,PDK1_HUMAN,2Q8F; 2Q8G; 2Q8H,PDK1,,HGNC:8809,Humans,DB08809
3887,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",ETFDH,545621,S69232,Q16134,ETFD_HUMAN,,ETFDH,,HGNC:3483,Humans,DB00331
3888,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,158256064,AK291314,O14983,AT2A1_HUMAN,,ATP2A1,,HGNC:811,Humans,DB01189; DB01236
3889,Protein kinase C iota type,PRKCI,432274,L18964,P41743,KPCI_HUMAN,1VD2; 1WMH; 1ZRZ; 3A8W; 3A8X; 3ZH8; 5LI1; 5LI9; 5LIH; 6ILZ; 8R3X; 8R3Y,PRKCI,,HGNC:9404,Humans,DB00675
3894,Beta-lactamase TEM,bla,208959,J01749,P62593,BLAT_ECOLX,1AXB; 1BT5; 1BTL; 1CK3; 1ERM; 1ERO; 1ERQ; 1ESU; 1FQG; 1JTD; 1JTG; 1JVJ; 1JWP; 1JWV; 1JWZ; 1LHY; 1LI0; 1LI9; 1M40; 1NXY; 1NY0; 1NYM; 1NYY; 1PZO; 1PZP; 1S0W; 1TEM; 1XPB; 1XXM; 1YT4; 1ZG4; 1ZG6; 2B5R; 2V1Z; 2V20; 3C7U; 3C7V; 3CMZ; 3DTM; 3JYI; 3TOI; 4DXB; 4DXC; 4GKU; 4IBR; 4IBX; 4ID4; 4MEZ; 4QY5; 4QY6; 4R4R; 4R4S; 4RVA; 4RX2; 4RX3; 4ZJ1; 4ZJ2; 4ZJ3,,,,Escherichia coli,DB09060; DB12107; DB12377
3959,HTH-type transcriptional regulator QacR,qacR,46660,X56628,P0A0N4,QACR_STAAU,1JT0; 1JT6; 1JTX; 1JTY; 1JUM; 1JUP; 1JUS; 1QVT; 1QVU; 1RKW; 1RPW; 2DTZ; 2GBY; 2HQ5,,,,Staphylococcus aureus,DB01123
3997,Phospholipase A2,PLA2G1B,190013,M21054,P04054,PA21B_HUMAN,3ELO; 6Q42,PLA2G1B,,HGNC:9030,Humans,DB00795; DB02210; DB02448; DB02659; DB02795; DB02938; DB03587; DB03633; DB04552
4004,NS3 protease,,14150583,AF369229,Q91RS4,Q91RS4_9HEPC,2A4Q; 2F9U; 2OBO; 2P59; 2XCN,,,,Hepatitis C Virus,DB06290; DB13879
4041,STE20-like serine/threonine-protein kinase,SLK,1944185,AB002804,Q9H2G2,SLK_HUMAN,2J51; 2JFL; 2JFM; 2UV2; 4USF; 6HVD; 8BEM,SLK,,HGNC:11088,Humans,DB06616
4049,Protein mono-ADP-ribosyltransferase PARP3,PARP3,29788060,Y16836,Q9Y6F1,PARP3_HUMAN,2EOC; 3C49; 3C4H; 3CE0; 3FHB; 4GV0; 4GV2; 4GV4; 4L6Z; 4L70; 4L7L; 4L7N; 4L7O; 4L7P; 4L7R; 4L7U,PARP3,,HGNC:273,Humans,DB09074; DB12332
